plate,review_reason_code,customer_meaning,reviewer_comments,status
FMU FAM,3.0,FOR MY UNIVERSITY FAMILY,FMU=FUCK ME UP,N
GAANAGA,2.0,GRACE AMALIA ABIGAIL NATALIA ABNER GABRIEL ARICELA,"LOOKS LIKE GANG, GOOGLE TRANSLATE SAYS ITS 'FILIPINO' BUT DOESN’T TRANSLATE IT",N
GEEZ E9O,2.0,FRIENDS AND FAMILY CALL ME 'G' THE PLATES ARE FOR MY 2007 E90 BODY TYPE BMW.,G=GANGSTER,Y
GT4GASM,1.0,VEHICLE MODEL IS RARE PORSCHE GT4 WITH GEOMETRIC ACTIVE SUSPENSION MANAGEMENT,orgasm,N
GUNSAGE,2.0,NOT AVAILABLE ON QUICKWEB YET,"GUN SAGE, PULLED FOR GUN",N
HAWK ATK,2.0,NOT AVAILABLE ON QUICKWEB YET,"HAWK ATTACK, NAME OF A BAND FROM COLORADO…?",Y
HEEPUTO,1.0,MY GIRL FIRST NAME N LAST NAME,"GOOGLE TRANSLATE SAYS PUTO=FUCKING, URBAN DICTIONARY SAYS IT IS THE MALE VERSION OF PUTA (PROSTITUTE) OR A SLUR TOWARD GAY MEN",N
HEZZY 13,2.0,MY FAMILY NICKNAME IS HEZZY FOR HEZMALHALCH AND FAVORITE NUMBER IS 13,13=gang number. Customer has a 2013 Infiniti on ani,N
HLL BLLY,2.0,HILL BILLY,"DICTIONARY.COM SAYS HILLBILLY=a term used to refer to a person from a backwoods or other remote area, especially from the mountains of the southern U.S. OFTEN DISPARAGING AND OFFENSIVE",N
JJP 13,2.0,NOT AVAILABLE ON QUICKWEB YET,"13=GANG NUMBER, NO 2013 CAR ON ANI",N
JSQMD13,2.0,"FAMILY INITIALS. JOSEPH, STEPHANIE, QUEEN MAXINE DIOQUINO","13=GANG NUMBER, NO 2013 CAR ON ANI",N
LCKIE13,2.0,MY KID'S JERSEY NUMBER,"13=GANG NUMBER, NO 2013 CAR ON ANI",N
LMAYO G,2.0,NOT AVAILABLE ON QUICKWEB YET,"G=GANGSTER, CUSTOMER IS LAURO MAYO",N
LOL AT U,2.0,LAUGHING OUT LOUD AT YOU,laughing at YOU,Y
LV2H8 SC,2.0,POKING FUN AT CROSSTOWN COLLEGE RIVALRY,HATE,N
OPD CAPT,5.0,NOT AVAILABLE ON QUICKWEB YET,"LIVES IN RANCHO CUCAMONGA, IS IDENTIFING HIMSELF AS AN ONTARIO POLICE DEPARTMENT CAPTAIN. I GOOGLED HIM AND IT SEEMS HE IS RETIRED FROM OPD",N
PAHK IT,3.0,NOT AVAILABLE ON QUICKWEB YET,FUCK IT,N
REDD25,2.0,OUR INITIALS,"RED=GANG COLOR, NOT HER INITIALS BUT DD MAYBE SHORT FOR DENNISE",Y
SCUDS,2.0,"MY DOGS CAR, USED TO DRIVE MY DOG HIS NAME IS SCUD","SCUD=A SOVIET MISSLE OR A SLANG TERM FOR AN UGLY WOMAN. ""SCUD"" WAS DENIED IN 2015",N
SURVICE,2.0,IT READS FUNNY,SUR=SURENOS GANG ABREVIATION + VICE,N
TC FSPOT,1.0,NOT AVAILABLE ON QUICKWEB YET,"F-SPOT IS AN IMAGE ORGANIZER, A TAKE ON F-STOP. TC IS HIS INITIALS, F SPOT COULD MEAN FUCK SPOT (PLACE)",Y
TERRA18,2.0,NOT AVAILABLE ON QUICKWEB YET,18=HATE SYMBOL,N
TOFUCUT,3.0,NAME OF STICKER AND T SHIRT BRAND,"TO FUCK IT, THERE IS A COMPANY CALLED ""TOFU CUTE"" PERHAPS THIS IS WHAT THEY MEAN",N
TRPLE7G,2.0,TRIPLE SEVEN GARDENS INC. NAME OF MY CORPORATION,G=GANGSTER,N
TTMBZ,1.0,TANIA TRONCOSO MERCEDES BENZ,"TT=PENIS IN TAGALOG, IT IS HER INITIALS",N
2UNA,1.0,NOT AVAILABLE ON QUICKWEB YET,TUNA CAN REFER TO FEMALE ANATOMY,N
GRUNGA,2.0,NOT AVAILABLE ON QUICKWEB YET,"LIKE GRINGO? DEROGATORY SPANISH FOR A FOREIGNER, ESPECIALLY A WHITE PERSON. CANT OPEN THE INTERNET PAGE WITH A DEFINITION…",N
PIPE C,1.0,"PIPE COBIAN, IS MY DOG'S NAME",PIPE CAN HAVE SEXUAL CONNOTATIONS,N
1BAADG#,2.0,MY CAR IS AN INFINITI G37 AND I WANT IT TO SAY ONE BAD G,G=GANGSTER,N
G$JOLLY,2.0,GO JOLLY,"G=GANGSTER, OR GO?",N
JPSTR 4$,2.0,NOT AVAILABLE ON QUICKWEB YET,"JEEP OR JAP, HAS 1984 'AMER' ON ANI, A JEEP?",Y
LB$LUCY,1.0,NOT AVAILABLE ON QUICKWEB YET,"LB=POUND, POUND LUCY, sexual connotations. LB=CUSTOMER INITIALS",Y
BEACHE,3.0,NOT AVAILABLE ON QUICKWEB YET,beach or bitch? Lives in san diego,Y
MY Z KA,2.0,NOT AVAILABLE ON QUICKWEB YET,"looks like zika, like the zika virus..? DOESN’T HAVE A DATSUN OR NISSAN ""Z"" CAR",N
FORE ASO,3.0,GOLFING,FOR ASSHOLE,N
HFA BOX,1.0,MY INITIALS AND THE ABBREVIATION OF THE CAR WHICH IS A BOXSTER,box=pussy but he does have a Porsche and those are his initials,N
KOCKA,1.0,"IT MEANS ""CAT"" IN CZECH.","cock. Does mean cat in Czech, no cat car on ani",N
RETRO AF,3.0,"RETRO: CLASSIC, AF: AUDI FORESTER (CAR)",RETRO AS FUCK,N
SCNTRLP,1.0,"THE FIRST LETTER OF MY GRANDPARENTS NAMES,PARENTS AND BROTHERS","cunt , trollop… ?",N
SHIMAPN,1.0,"SHIMA IS STRIPED IN JAPANESE, PN IS SHORT FOR PANTS. STRIPED P(A)N(TS)",SHIMA-PANTSU=STRIPED PANTIES IN JAPANESE. APPARENTLY AN ANIME RELATED CRAZE….,Y
TAN TRD,2.0,TOYOTA RACING DEVELOPMENT (TRD) (TAN TRUCK),"TAN TURD, HAS A TOYOTA TRUCK",N
4SIXTY9,1.0,NOT AVAILABLE ON QUICKWEB YET,"69, NO 69 ON ANI AND NOT HER BIRTH YEAR",N
ADV KLR,2.0,MY MOTORCYCLE IS A KLR AND THE TYPE OF RIDING I DO IS ADVENTURE,"KLR IS A TYPE OF KAWASAKI M/C, BUT NO KAWASAKI M/C ON ANI. LOOKS LIKE KILLER",N
MYGSPT1,1.0,MY GOSPEL TO ONE. I CNNT USE THE #21 DUE TO NUMER MEANING. I RIDE WITH GOD BY MY SIDE,"MY G-SPOT, SEXUAL CONNOTATION. MYGSPT IS ALREADY UNACCEPTABLE",N
APOKLPS,2.0,APOCALYPSE,APOLCOLYPSE; WAR,Y
BAD BONE,1.0,BAD TO THE BONE SONG TITLE AND THIS CARS NICK NAME IN A FORD COMMERCIAL,BAD BONE,N
BBY MKRR,1.0,NOT ON QUICK WEB YET,BABY MAKER,N
BCH,3.0,NOT ON QUICK WEB YET,BITCH,N
BIG A JP,2.0,NOT ON QUICK WEB YET,BIG ASS JEEP/JAP,N
BIGZIB,7.0,NOT ON QUICK WEB YET,ARABIC MEANING FOR MALE GENITALIA,N
BTCN RS,3.0,A RALLY SPORT (RS) PURCHASED BY WINDFALL FROM BITCOIN,BITCHIN RS,N
CIGZKIL,2.0,MY FATHER DIED FROM LUNG CANCER -HE WILLED ME THIS CAR,CIGARETTES KILL,N
DHUMASS,3.0,GRANDMOTHERS MAIDEN NAME,DUMB ASS,N
FQN TRKN,3.0,"FREQUENT RUNNING,RUNNING,KICK BOXING NUT",FUCKIN TRUCKIN,N
F TYPING,3.0,CAR TYPE,FUCK TYPING,N
HATRIZM,2.0,NOT ON QUICK WEB YET,HATE,N
HUSLLNN,2.0,HARD WORKER,HUSTLING,N
MEL CAT,1.0,MY WIFES NAME IS MELISSA AND THE CAR IS A HELLCAT / NO DODGE WHEN LOOKED UP ANI,CAT AKA VAGINA,N
MONKY,1.0,,MONKEY AKA FEMALE GENITALIA,N
MURDRGM,2.0,I HAVE A BLACK GMC YUKON WITH BLACK RIMS IT IS JUST A DIFFERENT MEANING THAT MY TRUCK IS ALL BLACK AND GM GENERAL MOTORS,MURDER,N
OKINAMI,2.0,NOT ON QUICK WEB YET,JAPANESE DESTROYER,N
PANKYJM,1.0,INITIALS/ NICKMANE,PANKY/DEROGATORY,N
PULPO69,1.0,NOT ON QUICK WEB YET/DOESN’T OWN A 1969 VEHICLE,SEXUAL REFERENCE,N
SLICK P,1.0,BASEBALL PLAYER NAME,SEXUAL CONNOTATION,N
VIILION,2.0,NOT ON QUICK WEB YET,VILLAIN,Y
DAAM DNL,3.0,"DO ALL AROUND MINDFUL DEEDS, NEVER LESS",DAMN DANIEL,N
DRTYBEE,3.0,"BEE LOVER, HARD WORKING BEES STAY DIRTY AFTER A HARD DAY AT THE OFFICE",DIRTY B AS IIN BITCH,N
E18V940,2.0,,18 HITLER REFERENCE,Y
E3M2Q3,6.0,GRANDKIDS INITIALS,323 AREA CODE,N
FKOFFPZ,3.0,FREDDIE KNIGHT OFFICER OF PEACE,FUCK OFF PLEASE,N
M8K LOVE,1.0,NOT WAR WILL BE IN FRAME. POPULAR 1960'S ANTI-WAR SLOGAN,MAKE LOVE SEXUAL REFERENCE,N
OFGVN,3.0,NO WORRIES,O FUCKS GIVEN,N
OGTITEL,2.0,LET IT GO (BACKWARDS),OG ORIGINAL GANGSTER,Y
OMWTFMB,3.0,PHRASE,ON MY WAY TO FUCK MY BITCH,N
SC FTW,3.0,"USC ALUMNUS: ""SOUTHERN CALIFORNIA FOR THE WIN""",FTW FUCK THE WORLD FOR THE WIN,N
SOSIZZY,2.0,SONG OF SOLOMON IZZY,SO SISSY COULD BE SISTER OR A DEROGATORY TERM FOR GAY,N
SRF 13,2.0,MY INITIALS AND THE DAY I GOT MARRIED,13 GANG REFERENCE,N
THK BLU,2.0,THINK BLUE,BLUE,Y
TURISTA,2.0,NICK NAME FOR CAR GROUP,DIAREHA WHILE ON VACATION,N
UH8JESS,2.0,YOU HATE JESSICA,YOU HATE JESS,N
VRIES13,2.0,KIDS INITALS,13 GANG REFERENCE,N
Z7Z7Z77,6.0,,LOOKS SIMILAR CAN BE CONFUSING,N
Z77Z7Z7,6.0,,LOOKS SIMILAR CAN BE CONFUSING,N
1ALK3IO,6.0,ONE ALKALINE TRIO,LOOKS LIKE THEY ARE SUBSTITUTING FOR AN AUTO PLATE,N
1 BICH,3.0,ONE BABE IN CONTROL OF HERSELF,1 BITCH,N
1RAM 4,2.0,2014 DODGE RAM,14 GANG REFERENCE OR COULD BE A 2014,Y
14 EARTH,2.0,(ONE FOR EARTH) ANOTHER HYBRID CAR FOR THE EARTH.,14 GANG REFERENCE OR COULD BE A 2014,Y
2000 HOE,1.0,YEA AND MODEL OF VEHICLE,HOE,N
2VDEEEZ,1.0,"OUR LAST NAME IS VAN DYKE. MY HUSBAND'S NICK NAME IS VD. SO, TWO OF US WOULD BE 2VDEEEZ! :)",VD ANOTHER TERM FOR VANERIAL DISEASE,N
213HCO5,2.0,LOS ANGELES AREA CODE,213 AREA CODE,N
4QUINCE,2.0,SAN FRANCISCO AREA CODE IN SPANISH,415 AREA CODE,N
415H8O8,2.0,,415 AREA CODE 808 AREA CODE,N
6UM730,6.0,"6, RATHER 7:30",GUM730 looks like an old auto,N
8O484K1,6.0,NO MEANING ITS THE SAME LETTERING AND NUMBERING AS THE ORIGINAL PLATES,LOOKS LIKE A COMMERCIAL,N
8THGN SS,2.0,,8 THUGGIN SS,N
$NURMOM,1.0,TELL MY KIDS ALL THE TIME YOU BETTER LOVE YOUR MOM... BE IN BIG TROUBLE STUCK WITH JUST DAD,LOVING YOUR MOM,N
DONB13,2.0,,13 GANG REFERENCE,N
O331 IP,6.0,,LOOKS LIKE A BOAT,N
G LEGEND,2.0,MY FIRST INITIAL IS G AND I OWN A RESTAURANT NAMED LEGENDS,G AS IN GANGSTER,N
SCSLSHT,3.0,SAN CLEMENTE SLINGSHOT,SHIT,N
AAAOV13,2.0,KIDS AND PARENTS INITIALS AND WEDDING YEAR,13 GANG REFERENCE,N
BLK BEDY,2.0,NAME OF A SONG CALLED BALK BETTY,BLACK BETTY,Y
BMWTRIX,1.0,,TRIX TRICKS,Y
B18LAW,2.0,RESEMBLES FOREIGN LICENSE PLATE FORMAT,18 GANG REFERENCE,N
CHOCHES,2.0,CHILD HOOD NICK NAME GIVEN BY OLDEST SISTER,MEXICAN SLANG,N
CHUCO52,2.0,NICK NAME,MEXICAN SLANG,N
DTHPONY,2.0,"DEATH PONY, IT WAS A CHARACTER ON A TV SHOW.",DEATH PONY,N
ETOILE8,2.0,STAR IN FRENCH,TOILET,Y
GVN O FKS,3.0,,GIVING 0 FUCKS,N
JUN 88.,2.0,,88 GANG REFERENCE,N
LO9O9AD,2.0,USED TO HAVE A LICENSE PLATE WITH THESES NUMBERS AND LETTERS,909 AREA CODE,N
MURDA RT,2.0,BLACKED OUT VEHICLE. RT IS THE TRIM,MURDER RATE,N
NULL 211,2.0,NULL 211,211 ROBERY,N
OFFICER,5.0,MY INFORMATION SECURITY OFFICER OCCUPATION,OFFICER,N
OHCFTW,3.0,,FTW FUCK THE WORLD,N
OMW2GOF,3.0,ON MY WAY 2 GOLF,ON MY WAY TO GO FUCK,N
OO71OB2,6.0,ORIGINAL SEQUENTIAL NUMBERS ASSIGNED TO THE TRUCK.,REVERSE COMMERCIAL,N
O11I11O,6.0,JEEP'S LOGO,LOOK A LIKE,N
PINK BEB,1.0,,PINK SLANG FOR VAGINA,N
PURITTO,1.0,IT'S A MIX BETWEEN A CATS PURR AND A BURRITO MAKING IT PURITTO. A DOUBLE T WAS ADDED SO AS TO MAKE IT UNIQUE.,CAT WRAPPED UP,Y
Q111Q,6.0,JEEP'S LOGO,LOOK A LIKE,N
RBJZJNT,2.0,I ENJOY GOING TO RNB AND JAZZ JOINTS TO LISTEN TO LIVE MUSIC,CAN NOT TRANSLATE,Y
SHMURDA,2.0,IT MEANS PEACE LOVE AND DASIYS,MURDER,Y
SKL 88,2.0,SKL 88,88 HITLER REFERENCE,N
SO EFFIN,3.0,"MIXED RACE HERITAGE. MOM IS FROM TOWN OF SOUTH EFFIN IN LIMERICK, IRELAND. WE ALSO OWN BUSINESS IN SAME NAME HONORING OUR ROOTS",EFFIN FUCKING,N
TWIST 69,1.0,PERSONALIZED LAST NAME,TWIST 69,N
WAAD,1.0,,WAD COULD BE A SEXUAL REFERENCE,N
WAGN 8U,2.0,CARS MODEL,ATE AL SO COULD MEAN TO BEAT,Y
WAXXXED,1.0,I AM AN ENROLLED COLLEGE STUDENT. I WANT TO BE A SMALL BUSINESS OWNER OF A SALON THAT OFFERS BODY HAIR WAXING.,XXX WAXED ALSO SEXUAL REFERENCES,N
WETDRY1,1.0,WET / DRY M SERIES BMW,WET,Y
WOP WAGN,2.0,,DEROGATORY TERM,N
YNG THG,2.0,ARTIST NAME,YOUNG THUG,N
YVIAGRA,1.0,FUNNY,WHY VIAGRA,N
Y23JC8,6.0,,LOOK A LIKE,N
1 GUNNY,2.0,,GUN,N
14 STARK,2.0,14 IS THE YEAR OF THE CAR AND STARK IS A NICKNAME,14 GANG REFERENCE,N
1704AB,6.0,MY SONS BIRTHDAY,LOOK A LIKE,N
2017 GT,6.0,2017 FORD GT,LOOK A LIKE,N
2018 GT,6.0,YEAR AND MAKE OF CAR,LOOK A LIKE,N
02.14.48,2.0,,14 GANG REFERENCE HOWEVER LOOKS LIKE A DATE,Y
33 KILLA,2.0,33 KILLA NICKNAME,KILLA,N
88BLZR,2.0,YEAR OF VEHICLE,88 HITLER REFERENCE,N
9KCG18,2.0,"ANNIVERSARY YEAR, OUR INITIALS, HIS BIRTHDAY",18 HITLER REFERENCE,N
BLOOCLR,2.0,,BLUE COLOR,Y
15 RD G,2.0,,G AS IN GANGSTER,N
PINKKY,1.0,NICKNAME,PINKY SLANG FOR VAGINA AND PORN ACTOR NAME,N
BAD$BLU,2.0,BAD BLUE EYES,BLUE COLOR,Y
F$TOGDS,3.0,PHOTO GODDESS,F AS IN FUCK,Y
GITWETT,1.0,TAKING THE BOAT TO THE LAKE AND GETTING WET.,GET WET,N
HT4YOGA,2.0,I LOVE GOING TO HOT YOGA CLASS,HATE FOR YOGA,Y
ILWAXIT,1.0,I'LL WAX IT,ILL WAX IT,N
LFEMBLU,2.0,LADY BLUE IN FENCH,BLUE,Y
LO12D,6.0,"BECAME A NICKNAME OF MINE, HOW IM KNOWN TO MY FRIENDS",CUSTOMER IS USIG THE 1 AND THE 2 TO MAKE AND R.. CUSTOMER LAST NAME IS LORD,Y
HOGASM,1.0,RAISED PIGS AL MY LIFE AND IM CRAZY ABOUT PIGS,HO,N
PSI VIP,1.0,,PSI LOOKS LIKE A SLANG FOR VAGINA,N
ASHO8,3.0,OUR FIRST DOG AND YEAR OF MARRIAGE.,ASSHOLE?,N
ATACK B,2.0,ATTACK BEE ON A YELLOW JACKET DODGE CHALLENGER,"ATTACK B(ITCH), PULLED FOR ATTACK",Y
BALUV29,3.0,INITIALS OF HUSBANDS FIRST AND WIFE'S NAME. FOLLOWED BY LOVE AND THE DAY OF OUR ANNIVERSARY 29.,"ba=bad ass, customer is Cynthia J Contreras",Y
BEARZ 18,2.0,I AM CURRENTLY ATTENDING UC BERKELEY. UC BERKELEY'S ATHLETIC TEAMS ARE REFERRED TO AS THE CALIFORNIA GOLDEN BEARS. THE 18 IS BECAUSE I WILL BE GRADUATING IN 2018.,18=HATE SYMBOL,Y
BIG 13,2.0,NICKNAME AFTER JERSEY NUMBER WORN FROM PLAYING COLLEGE FOOTBALL,"13=GANG NUMBER, NO 2013 CAR ON ANI",N
BLU BHDA,1.0,NICKNAME OF VEHICLE,blew Budda,Y
BLUE ME,1.0,SAD TIME IN MY LIFE AND CAR IS BLUE,BLEW ME,N
BS SJLJ,3.0,INITIALS,bs=bullshit. Customer is H Sergio Poloma,N
BUCN NCA,3.0,PITTSBURGH PIRATE FANS WHEN THEY ROOT FOR THE PIRATES IT IS KNOWN AS BUCN. I AM BUCN IN CALIFORNIA. 'BUCKING IN CALIFORNIA',BUCKING=FUCKING?,N
CUPAH8R,2.0,CUP AH HATERS,hate,N
DAM DNYL,3.0,DAMN DANIEL,"Damn Daniel. FYI we denied DMN DNYL about a month ago for a different guy, also named Daniel",N
DH 357,2.0,DRKHORSE357@YAHOO.COM MY EMAIL,357 MAGNUM=A GUN,N
COYO SI,1.0,NICKNAME,"coyo can mean anus (ANUS, YES) in Spanish (per TuBabel.com) Customer last name is Coyote",N
DMIGAWD,4.0,DEMI GOD,"GAWD, this spelling seems disrespectful. OHGAWD is unacceptable but a few others have old records",Y
ELOCO13,2.0,MR. CRAZY,"13=GANG NUMBER, NO 2013 CAR ON ANI",N
ENJOYME,1.0,"POSITIVE MESSAGE, ENJOY LIFE, ETC",SEXUAL CONNOTATION?,N
FARTFAN,3.0,FRESH AIR RIVERSE TRANSFER FAN,FART,N
FNH FAL,2.0,FAVORITE HISTORICAL FIREARM,FN FAL IS A SEMI AUTOMATIC RIFLE,N
FUCHS,3.0,FUCHS WHEELS. BRAND OF WHEELS.,"looks like FUCKS. It is a brand of wheels for Porsche, he has a Porsche",N
GSONOMA,2.0,GARY SONOMA,"G=GANGSTER. NAME IS GARY, LIVES IN SONOMA",Y
GUAPO14,2.0,FUTURE LAST NAME & YEAR WE MET.,"14=HATE SYMBOL, NO 2014 CAR",N
HALOS 14,2.0,ANGELS BASEBALL TEAM AND MY FAVORITE NUMBER,"14=HATE SYMBOL, NO 2014 CAR",N
HELRASR,3.0,HELL RAISER,HELL,Y
HOUSE13,2.0,PART OF MY LAST NAME AND MY BASEBALL NUMBER IN HIGH SCHOOL AND COLLETE,"13=GANG NUMBER, NO 2013 CAR ON ANI",N
HUSSE 1,1.0,"OWN A FRANCHISE FROM SWEDEN. THE COMPANY NAME IS HUSSE. IT'S A DOG AND CAT FOOD COMPANY. ""HUSSE"" MEANS DOG MASTER IN SWEDISH. I OWN THE FIRST FRANCHISE IN CALIFORNIA.","his meaning is true. we denied HUSSE for him last year, could be confused with 'hussy', in English=a slut or a prostitute",Y
H8 TRAFX,2.0,HATE TRAFFIC,she hates the traffic,N
IG88 ESB,2.0,"IG-88 WAS A DROID BOUNTY HUNTER HIRED BY DARTH VADER, FOR A SUBSTANTIAL REWARD, TO FIND THE MILLENNIUM FALCON IN THE EMPIRE STRIKES BACK.","MEANING IS TRUE. 88=HATE SYMBOL, NO 88 CAR",N
IMLAYJR,1.0,I AM LARRY ALAN YOUNG JR.,LAY CAN HAVE SEXUAL CONNOTATIONS BUT IT IS HIS INITIALS…,Y
JALPA88,2.0,MEXICO TOWN WERE FAMILY IS FROM,"88=hate symbol, no 88 car on ani",N
JAPTOR,2.0,JASONS RAPTOR,JAP,N
JESS89R,1.0,MY DAUGHTERS NAME,89 HAS A SEXUAL CONNOTATION ON URBAN DICTIONARY,N
JKE SNKE,1.0,"MY NAME IS JACOB, AND MY FAMILY HAS ALWAYS CALLED ME BY MY NICKNAME JAKE THE SNAKE. THEREFOR THE LISCENSE PLATE READS 'JAKESNAKE'","CUSTOMER IS STEVEN… SNAKE IS SLANG FOR PENIS. JAKE THE SNAKE IS A WWE WRESTLER, I THINK.",Y
JSTJPIN,2.0,JUST JEEPING,no jeep on ani. Jap?,Y
KINGSXX,1.0,MY FAVORITE ROCK BAND,KING SEX? KING'S X IS THE NAME OF A BAND,N
LTLWILY,1.0,LITTLE WILLY FOR A WILLYS JEEP,"little willie=small penis, but does have a 2000 Willy on ani",Y
LTSTLKR,2.0,I AM A PHOTOGRAPHER AND I CHASE THE LIGHT,PULLED FOR STALKER,N
LUBETRK,1.0,LUBE TRUCK. I DELIVER LUBRICANTS WITH MY PICKUP.,LUBE CAN ALSO HAVE A SEXUAL CONNOTATION,N
LUVMYJP,2.0,LOVE MY JEEP,no jeep on ani. Jap?,Y
L2LBULY,2.0,ITS A SMALL CAR,pulled for 'bully',N
L47V N14,2.0,LETTER AND NUMBER COMBINATIONS MAKE NAME AND ANNIVERSARY DATE,"no 2014 car on ani, 14=hate symbol",N
MADMNKE,1.0,"THE NAME OF MY AUTOMOTIVE DETAIL SHOP, MAD MONKEY DETAILS",monkey=pussy,N
MAKAI69,1.0,HAWAIIAN WORD FOR OCEAN AND THE YEAR I WAS BORN,"no 69 car on ani, was born in 1969.",N
MBDTF96,1.0,MY BEUATIFUL DARK TWISTED FANTASY,maybe down to fuck. Customer meaning is the name of a Kanye West album…,N
MC NFG,3.0,MALL CRAWLER NEVER FORGET GOD,NFG=NO FUCKS GIVEN OR NO FUCKING GOOD,N
MCX69,1.0,"MY INITIALS (MARINA CARDENAS) AND MY BIRTHDAY (JUNE 9, 1976)",NO 69 CAR ON ANI,N
MDRPNTO,2.0,"I FIX PINTO CARS FOR PEOPLE. SO ""I'M DR PINTO""",MURDER PINTO,N
MEANTRD,2.0,MEAN TOYOTA RACING DEVELOPMENT,MEAN TURD,N
M M F C,3.0,MY MAN'S FAVORITE CAR,"MATTHEW ""MOTHERFUCKING"" COOK",N
MONGO68,2.0,ACTOR IN A MEL BROOKS MOVIE,"mongo, urban dictionary says it's derogatory. Slang for someone with Down's Syndrome",N
NIJJAR7,2.0,NIJJAR IS A VILLAGE NAME IN INDIA WHERE I AM FROM AND IT'S REALLY SPECIAL TO ME,"some similar are out there and some are unacceptable, its about 50/50… it seems to be a village. Pulled because of resemblance to the ""N"" word",N
NONCE,2.0,ADJECTIVE (OF A WORD OR EXPRESSION) COINED FOR OR USED ON ONE OCCASION.,"DICTIONARY.COM SAYS: 1. FOR THE PRESENT TIME OR OCCASION. 2. PRISON SLANG: A RAPIST OR CHILD MOLESTER, A SEXUAL OFFENDER",N
NOTACML,1.0,NOT A CAMEL IS THE NAME OF MY PRODUCTION COMPANY,"APPARENTLY 'CAMEL' IS A LARGE SHAPELY ASS ON A WOMAN… URBAN DICTIONARY. A MAN IS NOT A CAMEL IS AN EXPRESSION MEANING, GO GET ME A DRINK…",Y
NST CAT,1.0,VERY FAST CAT,has a 1967 Chevy.. Cat car? cant think of one. Nasty cat. A nasty dude,N
PORKY,2.0,IT'S MY NICKNAME FOR THE CAR,"INSULTING WAY TO SAY 'FAT', PORKYYY WAS DENIED 7/2015",N
PWR BOX,1.0,BOX OF POWER,"box=female anatomy, no cars come up on ani",Y
RAH1969,1.0,MY INITIALS AND YEAR OF BIRTH,"is birth year, no 69 car",N
RAMGRAY,1.0,RAM FAN AND LAST NAME.,"RAM CAN HAVE SEXUAL CONNOTATIONS, GRAY IS HIS LAST NAME, NO DODGE",N
RAMSLIZ,1.0,RAMS FAN,SEXUAL CONNOTATION? HER NAME IS ELIZABETH,N
RICE ME,2.0,TYPE OF CAR,becaue of 'me'… do what? To you?,N
ROS13,2.0,ROSIE THE COLOR RED,13=gang number no 2013 car,N
SLVR HMR,2.0,SILVER HAMMER,"Beatles song, Maxwell's Silver Hammer. He kills everyone with a silver hammer…",N
TACOHLC,1.0,I LOVE TACOS.,taco-holic… taco=pussy,N
TANGODN,2.0,TANGO DOWN AND ITS FOR MY MILITARY SERVICE. USMC,"MILITARY SLANG, TARGET (OR TERRORIST) IS DOWN, HAS BEEN NEUTRALIZED… URBAN DICTIONARY",N
TBIB 2,3.0,THE BITCH IS BACK,"pulled for bitch. She had ""TBIB"" from 1999 to 2011 expiration date… expired but not surrendered",N
TETTES,1.0,PART OF MY LAST NAME (MARENTETTE) AND MY NICKNAME,TITTIES,N
TITI921,1.0,MY DAUGHTER,TITI=PENIS IN TAGALOG,N
TMFRR,3.0,TOO MUCH FUN RAILROAD,MF,N
TOP GUNN,2.0,AIRPLANE FIGHTER PILOT FOR THE NAVY.,"gun, TOP GUN was out there for an LA County Sheriff but it expired in 2014",N
TSHY WSH,1.0,"SHORT FOR NICKNAME OF ""TISHY WISHY"" GIVEN BY GRANDFATHER. FULL FIRST NAME IS TISHA.","looks like ""tushy wish"" tush=ass",Y
TUNA FSH,1.0,I'M A PROFESSIONAL FISHERMAN AND I FISH FOR TUNA ALL OVER THE WORLD,"I GOOGLED HIM, HE IS AND HE DOES",N
U RAMIT,1.0,NONE,"DOES HAVE A DODGE, OK?",N
USA 13,2.0,UNITED STATES AND MY LUCKY NUMBER.,13=gang number no 2013 car,N
VAGCM1O,1.0,VANESSA ANDRES GABY CECI MONTOYA 10,VAG=VAGINA,N
VFANCUL,3.0,VERMONT FANS OF CULINARY EXCELLENCE - VERMONT UNIVERSITY'S CULINARY/CHEF'S ALUMNI ASSOCIATION,Vaffanculo MEANS FUCK YOU IN ITALIAN,N
WARWGUN,2.0,MY PASSED AWAY AND THIS IS WHAT HE NAMED HIS TRUCK TO RUN AT FAMOSA,"It was a heavy wagon given protective sides with firing slits and heavy firepower from either a cannon or a force of hand-gunners. Used in medieval times. (ALSO ""GUN"")",N
X6 BFM,3.0,"""X6"" JUST CAR TYPE, AND REST OF LETTER DO  NOT HAVE MEANING.",BFM= BILL FUCKING MURRAY,N
ZMBSLAR,2.0,ZOMBIE SLAYER,"slay=kill, ZOMBIE SLAYER",N
1SICKKG,2.0,A GOOD LOOKING CAR,"one sick g, g=gangster",N
14 SS,2.0,2014 CAMARO SS,cant find him on ani to confirm the car. 14=hate symbol,N
2DRK 4BS,3.0,TOO DARK FOR BACK SLIDING,TOO DARK FOR BULLSHIT,N
26T8MUP,1.0,"THE CAR IS A 26 MODEL T FORD, ITS GOING TO BE PAINTED PURPLE, ITS NICKNAME IS THE PURPLE PEOPLE EATER","ate em up, DOES HAVE A 26 FORD",Y
3CONO,1.0,THREE ECONOLODGE OWNER,CONO=CUNT IN SPANISH,N
6 CHORNI,1.0,CHORNI MEANS BLACK IN RUSSIAN. CAR IS BLACK.,"google translate  says it means ""horney""",N
