plate,review_reason_code,customer_meaning,reviewer_comments,status
LILGB$G,2.0,LITTLE G'S BUG,G AS IN GANGSTER,N
L$VEMYV,1.0,LOVE MY VOLVO/LOVE MY VIOLET DOG,"LOVE MY V, V AS IN ???VAGINA",N
PPM$RE,2.0,THIS IS THE NAME OF MY REAL ESTATE COMPANY PREFERRED PROPERTY MANAGEMENT AND REAL ESTATE. AND I LOVE SELLING REAL ESTATE!,LOOKS LIKE PEE PEE MORE,N
AB 43,2.0,ANTHONY BARTONE BADGE # 43,ANTHONY BARTONE BADGE # 43,Y
CUBS14,2.0,CUBS BASEBALL,14 GANG REFERENCE,N
BDNBLUE,2.0,BAD AND BLUE,BLUE,N
GOOD BRD,2.0,GOOD BIRD,GOOD BIRD,Y
HOOGTYD,2.0,ABOUT TIME,HOG TIED,N
HPPY 911,2.0,JUST A HAPPY OWNWER OF A PORSCHE 911,JUST A HAPPY OWNWER OF A PORSCHE 911,Y
HUNTN WJ,2.0,HUNTN MEANS HUNTING AND WJ IS MODEL OF THE JEEP,HUNTING,N
IONFKWU,3.0,I MIND MY BUSINESS,I DON’T FUCK WITH YOU,N
REDD424,2.0,MY WIFE IS A REDHEAD AND HER LUCKY NUMBERS ARE 424,424 AREA CODE RED,N
RED ZILA,2.0,RED GODZILLA,RED GODZILLA,Y
SMKNBEE,3.0,SMOKING BEE,SOUNDS LIKE SMOKING BITCH,N
TEAM 559,2.0,TEAM FRESNO (AREA CODE 559),559 AREA CODE,N
UBERCHP,5.0,UBER CHAP,CHP CALIFORNIA HIGHWAY PATROL,N
VIXXXIE,1.0,I NAMED MY CAR VIXIE,XXX AND VIXEN SEXUAL REFERENCE,N
8OMMM18,2.0,NONE,18 HITLER REFERENCE,N
99 PINKY,1.0,NICKNAME,PINKY,N
ADV NUT,2.0,AM CRAZY FOR ADVENTURE,NUT,N
HLATITE,2.0,"IT IS AN ABBREVIATION FOR ""HELLA TIGHT"". IN THE ARMY, IT WAS A PHRASE SHARED BY SOLDIERS FROM NORTHERN CALIFORNIA.","IT IS AN ABBREVIATION FOR ""HELLA TIGHT"". IN THE ARMY, IT WAS A PHRASE SHARED BY SOLDIERS FROM NORTHERN CALIFORNIA.",Y
GO GAG,1.0,GO THEN MY LAST NAME,GAG,N
AHOYFKR,3.0,IT'S FOR MY SON FRANK. IT'S HIS SAYING AHOY FRANK R METZGER,AHOY FUCKER,N
AHTACO S,1.0,"THE MEANING OF THIS PLATE IS THE CULTURE, FONDNESS AND CRAVING TACOS",TACO,N
C516GNR,2.0,"DAUGHTERS INITIAL, DATE OF BRITH AND BAND GNR",GNR-GUNNER,N
DETON8R,2.0,COLOR IN DETONATOR YELLOW,DETONATOR,N
DEWSHBG,2.0,NAME OF MY COMPANY,DOUCHE BAG,N
ELLAY13,2.0,LOS ANGELES UNION NUMBER 13,13-GANG,N
FIELMOB,2.0,MY NICKNAME,MOB. LAST NAME FIELDER,N
FK TRUMP,3.0,NOTHING,FUCK TRUMP,N
FUCK NO,3.0,FRIENDS AND FAMILY UNITED TO KEEP A CLEAN COMMUNITY. NO TO TRASH,FUCK NO,N
GAGRL13,2.0,GEORGIA GIRL 13,13-GANG,N
GFAM619,2.0,FIRST NAME INITIAL. LAST NAME ABBREVIATION. AREA CODE,CA AREA CODE,N
GLK,2.0,INITIALS,GLOCK,N
G RUSTY,2.0,GUSTAVO'S TRUCK NAME RUSTY,G,N
GT WHORE,2.0,GT4 IS OUR CAR,WHORE,N
HELL RAM,3.0,HELLCAT IS DODGE BUT I WILL BE CUSTOMIZING A RAM TO MATCHA HELLCAT,HELLCAT IS DODGE BUT I WILL BE CUSTOMIZING A RAM TO MATCHA HELLCAT,Y
HMS 88,2.0,HMH IS MY INITIALS. 88 MEANS I WAS BORN IN 1988,88-HITLER,N
JPM 13,2.0,MY INITIALS AND 13 IS MY BIRTHDAY AND FAVORITE NUMBER,13-GANG,N
KILLLAH,2.0,GRANDMA NICKNAME AND THE CAR BELONGED TO HER. SHE IS NOW DECEASED.,KILLER,N
KOP KAR,5.0,LOOKS LIKE AN INTERCEPTOR,COP,N
LUV H8RS,2.0,SOMETHING I BELIEVE IN,HATERS,N
MURDRDD,2.0,BLACKED OUT,MURDERED,N
NANA31O,2.0,CHILDHOOD NICKNAME AND AREA CODE,CA AREA CODE,N
OSO 88,2.0,BEAR 1988,88-HITLER,N
O14OMJA,2.0,BIRTHDAY AND NAME INITIALS BACKWARDS,14-HITLER,N
O51O AE,2.0,5/10 IS OUR WEDDING ANNIVERSARY AND AE IS OUR INITIALS,CA AREA CODE,N
QQ88GY,2.0,MY INITIALS AND LUCKY NUMBER,88-HITLER,N
RAMS OG,2.0,SPORTS TEAM POSITION OFFENSIVE GUARD,OG,N
SENDPIE,1.0,FUNNY PUN,SEND PIE… SEND VAGINA,N
WOLFY 14,2.0,CAR NICKNAME IS WOLFGANG AND MODEL EYAR IS 2014,14-HITLER,N
YCCC714,2.0,LOVE AND FAVORITE NUMBER,CA AREA CODE,N
YUMTACO,1.0,NAME,TACO,N
YV1AW88,2.0,FIRST SEVEN CHARACTERS OF THE VIN,88-HITLER,N
1BDTACO,1.0,ONE BAD TACOMA,TACO,N
1KWLMFR,2.0,ONE COOL MUSTANG FORD RACING,ONE COOL MOTHERFUCKER,N
1OGSEX3,1.0,MY VEHICLE IS A 1963 SS IMPALA,OG SEX,N
13BLKRT,2.0,2013 BLACK CHALLENGER RT,2013 BLACK CHALLENGER RT,Y
69 ARMY,1.0,I WAS DRAFTED IN THE US ARMY IN 1969,69,N
7RK88,2.0,LUCKY NUMBERS AND INITIALS,88-HITLER,N
BB18&GY,2.0,MY INITIAL AND LUCKY NUMBER,18-HITLER,N
HORSE13,2.0,I LOVE HORSES,13-GANG,N
GLOKIT,2.0,USPSA AND IDPA RACE TOOL,GLOCK IT… ON A VET PLATE,N
GMANN14,2.0,NICKNAME FOR MY SON,14-HITLER,N
LKR BOX,1.0,LAKE KIOWA RACING BOX FOR TOY HAULER,LICK HER BOX?,N
PHUQUE9,3.0,I AM A POOL PLAYER WITH A FEW CUE STICKS,FUCK 9,N
415N8IV,2.0,SAN FRANCISCO NATIVE,CA AREA CODE,N
HAUTCHT,3.0,VINTAGE CLOTHING STORE,HOT SHIT,N
AGWO831,2.0,MY SONS BIRTHDAY AND HIS INITIALS,CA AREA CODE,N
DUBZ51O,2.0,MY NICKNAME AND WHERE I'M FROM,CA AREA CODE,N
EDLM916,2.0,MY DAUGHTERS INITIALS AND AREA CODE SHE WAS BORN IN,CA AREA CODE,N
EFIG65O,2.0,HIGH SCHOOL NICKNAME AND MY USERNAME FOR ALMOST EVERYTHING I USE,CA AREA CODE,N
GRESS69,2.0,LAST NAME IS GRESS AND 69 IS THE YEAR I WAS MARRIED,CUSTOMERS LAST NAME 69,N
HEIDI 88,2.0,1988 MODEL OF A CAR NAMED HEIDI,88-HITLER,N
HEL2PAY,3.0,EVERYTHING,HELL,N
JDM ASF,3.0,"MY CAR IS A JAPANESE CAR AND JDM STANDS FOR JAPANESE DOMESTIC MOTORS, AND ASF IS THE INITIALS OF MY FAVORITE BROTHER",AS FUCK,N
YEEZY AF,3.0,BECAUSE I LIKE KANYE WEST,AS FUCK,N
1NSTY V,1.0,A CAR THAT LOOKS REALLY GOOD NOT MEANING ANY OFFENSIVE WORDS,ONE NASTY V,N
11FTW24,2.0,MY BIRTHDATE AND FAMILY INITIALS,FTW,N
FUXWDIT,3.0,YOU GOTTA BE WIDDIT,FUCKS WITH IT,N
IRWIN14,2.0,LAST NAME AND RACE CAR NUMBER,14-HITLER,N
562RDRS,2.0,SPORTS TEAM,CA AREA CODE,N
BA TOP,1.0,BA    TOP    FOR MY MOM. FOR MY DAD.,"TOP=SEXUAL CONNOTATIONS, S&M",N
BIGCAT1,1.0,NO MEANING ON QUICKWEB YET,"CAT=PUSSY, NO CAT CAR ON ANI",N
BIG CHON,2.0,"BOSS, CEO.",urban dictionary says 'chon' is  an offensive name for a person of Korean background,N
BIH PLZ,3.0,BIH PLZ,BITCH PLEASE,N
B ONE B,3.0,BE ONE BAZA,baza is customer last name. B can mean bitch,N
EMP PTG,1.0,NO MEANING ON QUICKWEB YET,EMP can mean 'eat my pussy',N
FHECTOR,3.0,NO MEANING ON QUICKWEB YET,FUCK HECTOR (from the movie 'Friday'),N
FKN TACO,3.0,FRANKLIN VIRGINIA (FKN IS THE AIRPORT ABREVIATION) TACOS IS THE NAME OF MY SONS BUSINESS HE IS OPENING AND WANT TO SURPRISE HIM BY HAVING IT ON MY CAR,fucking taco,N
FORKS UP,2.0,I AM AN ARIZONA STATE ALUMNI AND OUR MASCOT IS A SUNDEVIL WHO CARRIES A PITCH FORK AS PART OF HIS COSTUME,his meaning is true but when I googled to confirm a gang connotation also came up,N
FTVCO13,2.0,FEEL THE VIBE COMPANY (FTVCO) IS MY DJ COMPANY AND 13 IS MY LUCKY NUMBER,"13=GANG NUMBER, NO 2013 CAR",N
GOVNR47,5.0,FORMERLY OWNED BY 1947 CALIF GOVERNOR,FORMERLY OWNED BY 1947 CALIF GOVERNOR,Y
HARDOOO,1.0,MY TEAM'S WAR CRY BEFORE PLAYING FOOTBALL GAMES,sexual connotations,N
HELA BAD,3.0,"A REALLY COOL CLASSIC 1968 DODGE SUPERBEE, ONE OF THE MOST SOUGHT AFTER MUSCLE CARS EVER. THESE CARS HAD THE BADDEST ENGINES EVER.","A REALLY COOL CLASSIC 1968 DODGE SUPERBEE, ONE OF THE MOST SOUGHT AFTER MUSCLE CARS EVER. THESE CARS HAD THE BADDEST ENGINES EVER.",Y
HS14HRS,2.0,HIS AND HER CAR.,HIS AND HER CAR.,Y
H8MENOW,2.0,"NOW THAT IM DRIVING, HATE ME FOR THAT",HATE,N
ICU MAD,2.0,SHOW CAR,I see you mad. Pulled because of the 'you',N
JFE MT,2.0,BOSS MANUEL TORRES,"JEFE CAN HAVE A GANG CONNOTATION, GANG CHIEF",N
KNDY KAT,1.0,CANDY APPLE RED AUTO,"CAT=PUSSY, NO CAT CAR ON ANI",N
LONER 14,2.0,LORETTAS MASTERS OF SOCIAL WORK,"14=hate symbol, no 2014 car on ani",N
LVDABCH,3.0,LOVE THE BEACH,BEACH OR BITCH,N
MUPLAND,3.0,"""no meaning""","mup=urban dictionary says ""man up pussy"" may be talking about his town, he's from Hopland, so Mupland…",N
MURDAHO,2.0,not on quickweb yet,"has a Chevy UT, probably a Tahoe seems like murder and Tahoe put together. Looks like murder ho",N
NEECH,2.0,not on quickweb yet,means 'despicable' in Hindi,N
NICEAST,1.0,NICKELODEAN EAST. A PROFESSIONAL/PERSONAL REFERENCE.,nice assed,N
NUKO,2.0,not on quickweb yet,not on quickweb yet,Y
PICO 8O5,2.0,not on quickweb yet,AREA CODE FOR SANTA BARBARA,N
POOP KNG,3.0,POOP BAGS MANUFACTURER,EXCREMENT,N
PRME BLD,2.0,NO MEANING ON QUICKWEB YET,BLOOD OR BUILD?,N
RC  13,2.0,NO MEANING ON QUICKWEB YET,"13=GANG NUMBER , NO 2013 CAR",N
RNGL 818,2.0,RNGL ABBREVIATED FOR MY LAST NAME AND 818 FOR MY AREA CODE,area code for Pacoima where customer lives,N
R3DRM 4S,2.0,OUR 3RD DREAM PORSCHE CARERRA 4S.,"REDRUM FORCE? (NOT OUT WITH A 3, REDRUM IS MURDER BACKWARDS) AND DOES HAVE A PORSCHE, THEY MAKE A MODEL 4S",N
SCHEIZE,3.0,MY DOGS NAME,GERMAN WORD TRANSLATES TO 'SHIT' OR 'FUCK' DEPENDING ON WHICH TRANSLATOR I USE,N
SCHMNGY,2.0,NO MEANING. JUST A MADE-UP WORD I LIKE TO USE IN FUN. THERE IS NOTHING ULTERIOR IN IT'S MEANING.,NO MEANING. JUST A MADE-UP WORD I LIKE TO USE IN FUN. THERE IS NOTHING ULTERIOR IN IT'S MEANING.,Y
SHAAGGN,1.0,"S FOR STEVE GRANDPA'S NAME, H FOR HENRIETA GRANDMA'S NAME, A FOR ARTHUR BROTHERS NAME A FOR ARTIE DAD'S NAME G FOR GIAN SONS NAME G FOR GIA DAUGHTERS NAME N FOR NUBE DOGS NAME",SHAGGING=FUCKING,N
SLOWAZF,3.0,SAN LUIS OBISPO WAS FUN,slow as fuck,N
TACO BRO,1.0,TACO BROOOOOOO,TACO=PUSSY,N
TAT2 M1,2.0,not on quickweb yet,m1 is a semi automatic military rifle,N
TAY HOE,1.0,"OUR VEHICLE IS A CHEVY TAHOE, AND OUR 2 YEAR OLD SON PRONOUNCES IT TAY HOE","Says ""HO"", has a Chevy UT. Could be a Tahoe.",N
TETIN 88,1.0,NICK NAME YEAR OF TRUCK,88=HATE SYMBOL. HAS A 1988 VEHICLE. BUT TETIN AND TETINE TRANSLATE AS 'TEAT' AND 'NIPPLE' IN FRENCH,N
TG 187,2.0,"""TG"" STANDS FOR ""TONY GUTIERREZ"". 187 IS MY CAR'S NUMBER FOR ROAD RACING.",187=HOMICIDE,N
UCFKNTS,3.0,UNIVERSITY OF CENTRAL FLORIDA KNIGHTS - THE UNIVERSITY I ATTENDED.,"is the name of a university in Florida, looks like fucking nuts",N
UHEMI14,2.0,YOU HEMI 14,YOU HEMI 14,Y
U TRIED,2.0,YOU TRY,YOU TRIED; PULLED BECAUSE OF THE 'YOU',N
UTRYNME,2.0,YOU ARE TRYING ME.,"DIFFERENT CUSTOMER, BUT PULLED BECAUSE OF THE 'YOU'",N
YUKA 18,2.0,MY DOGS NAME,18=hate symbol,N
YU LEWZ,2.0,YOU LOSE,YOU' LOSE,N
ZZXXXNA,1.0,NO MEANING ON QUICKWEB YET,XXX=PORN,N
1BOLD69,1.0,I HAVE A 1969 CHEVELLE SS396. THE ENGINE IS MODIFIED FOR MORE POWER. OF COURSE I ALSO GRADUATED HIGH SCHOOL IN 1969. FINALLY GOT THE CAR I WANTED THEN.,no 1969 car on ani,N
1SIKFOK,3.0,1SIKFOX STANDS FOR THE CAR NAME BRAND MODEL,ONE SICK FUCK,N
1 UNCUT,1.0,IT MEANS THE BRONCO IS STOCK. IN IT'S ORIGINAL FORM.,SLANG FOR AN UNCIRCUMCISED PENIS,N
13KELLY,2.0,FAVORITE NUMBER,"13=gang number, no 2013 car",N
13SMOKE,2.0,YEAR AND NAME OF VEHICLE,"13=GANG NUMBER, DOES HAVE A 2013 TRUCK",N
28GSV88,2.0,IMPORTANT DATE.,"88=HATE SYMBOL, NO 88 CAR ON ANI. 28 IS BIRTHDATE AND 1988 IS YEAR",N
3BUMBOY,1.0,3 BUMBARGER BOYS,3 BUMBARGER BOYS,Y
4O BOMBA,2.0,NO MEANING ON QUICKWEB YET,BOMB,N
4Q OO7,3.0,MY NICKNAME,FUCK YOU 007,N
5O GANG,2.0,CAR CLUB,"50 GANG, PULLED FOR 5 OH (POLICE) AND GANG, ANI SHOWS A 1987 2 DOOR FORD",N
69 FCON1,1.0,1969 FORD FALCON,1969 FORD FALCON,Y
DUKEH8R,2.0,NO MEANING ON QUICKWEB YET,DUKE HATER,N
RYDOVRU,2.0,NO MEANING ON QUICKWEB YET,RIDE OVER YOU,N
TUONO 18,2.0,NO MEANING ON QUICKWEB YET,18=hate symbol,N
6UWISH9,1.0,NO MEANING ON QUICKWEB YET,"69, YOU WISH… no 1969 vehicle on ani",N
DRUBLU,2.0,PET OWNER AND PET,PET OWNER AND PET,Y
C$J  18,2.0,NO MEANING ON QUICKWEB YET,18=hate symbol,N
MA $ FR,3.0,MANUELA LOVES FRANCESCO,MANUELA LOVES FRANCESCO,Y
MRS$  18,2.0,"#18 IS PEYTON MANNING, A RETIRED PROFESSIONAL QUARTERBACK",18=hate symbol,N
V+I  88,2.0,VISION PLUS IMAGE 88,"88=HATE SYMBOL, NO 88 CAR ON ANI",N
HTEGAS,2.0,HATE GAS,HATE GAS,Y
FLX BLS,3.0,CAR MODEL & FAMILY INITIALS,CAR MODEL & FAMILY INITIALS,Y
MSPOOH,3.0,NO MEANING ON QUICKWEB YET,POOP,N
PLTACO,1.0,POINT LOMA TACOMA,"TACO=PUSSY, has an 08 Toyota",N
NRA 4X4,2.0,NATIONAL RIFLE 4 BY 4,NATIONAL RIFLE 4 BY 4,Y
SNAFUD,3.0,SITUATION NORMAL ALL FABULOUS UNDER DURESS,SNAFU=SITUATION NORMAL-ALL FUCKED UP,N
ASI 14,2.0,NO MEANING ON QUICKWEB YET,"14=HATE SYMBOL, THIS IS FOR A COMPANY. THEY WERE DENIED 'ASI 13' IN 2009 BUT HAVE A FEW OTHER SIMILAR PLATES WITH OTHE NUMBERS",N
GOGMCOX,1.0,GO GAMECOCKS SPORTS TEAM,"SOUTH CAROLINA FOOTBALL TEAM, PULLED FOR COCK",N
MINI 13,2.0,ITS FOR MY MINI COOPER AND 13 IS MY LUCKY NUMBER.,NO 2013 CAR 13=GANG NUMBER,N
OGRMD,2.0,NO MEANING ON QUICKWEB YET,OG,N
RA DD 14,2.0,NO MEANING ON QUICKWEB YET,NO MEANING ON QUICKWEB YET,Y
STL BLST,2.0,NO MEANING ON QUICKWEB YET,NO MEANING ON QUICKWEB YET,Y
U S BLUZ,2.0,A GRATEFUL DEAD SONG,A GRATEFUL DEAD SONG,Y
YA DUTS,1.0,BE QUITE,DUTS=SLANG FOR DICK+NUTS,N
1BA ECO,3.0,COOL ECOBOOST,BA=BAD ASS,N
IMPELLO,1.0,LATIN WORD MEANING: TO PUSH FORWARD,"google translate says, ""thrust, strike, beat off""",N
415CALI,2.0,WE ARE FROM CALIFORNIA 415,"415, SAN FRANCISCO AREA CODE",N
TNT BRD,2.0,TIM AND TIFF BIRD,"TNT=DYNAMITE, HER NAME IS TIFFANY ABELS. ANI SHOWS A BMW",N
BCH CITY,3.0,CAR CLUB,LOOKC LIKE BITCH CITH OR BEACH CITY,N
B TRICK,3.0,VARIATION OF LAST NAME (BITRICH),CUSTOMER LAS NAME BITRICH BUT PLATE LOOKS LIKE B TRICK,N
CRUZE 13,2.0,MY CAR MODEL AND YEAR.,MY CAR MODEL AND YEAR.,Y
E SEX,1.0,THIS PLATE IS FOR A 1927 ESSEX AUTOMOBILE WITH AN EARLY VERSION OF AN (E)LECTRIC SELF-STARTER.,ELECTRONIC SEX,N
FIK DICH,3.0,FOR I'M KIND I CHOSE TO BE KIND,MEANS FUCK YOU,N
G ROUPE 4,2.0,GROUPE IS MY CAR CLUB AND THE 4 IS THE YEAR OF MY 1964 IMPALA,G AS IN GANGSTER OR LOOKS LIKE GROUPIE,N
OG DOSA,2.0,NICKNAME,OG AS ORIGINAL GANGSTER,N
REDBARE,2.0,I LIKE RED BEARS,RED,N
RED RBN,2.0,RED ROBIN: BATMAN'S THIRD ROBIN OF DC COMIC BOOK LORE,RED ROBIN: BATMAN'S THIRD ROBIN OF DC COMIC BOOK LORE,Y
RICE AF,3.0,RICE AREA FARMER,RICE AS FUCK,N
SAB 14,2.0,MY INITIALS AND FAVORITE NUMBER,14 GANG REFERENCE,N
SCLPIN,2.0,NAME OF NAVY SHIP & NAME OF A SPECIES OF LOCAL SALTWATER FISH,SCALPIN,N
THATCAT,1.0,LOOK AT THAT CHALLENGER HELLCAT,LOOK AT THAT CHALLENGER HELLCAT,Y
TRIK PLZ,1.0,"MEANING STRAIGHT FORWARD, NO TRICKS...PLEASE",TRICK PLEASE,N
TU JEFA,2.0,YOUR MOM,JEFE,N
UFMEIFU,3.0,U FOLLOW ME I FOLLOW U,YOU FUCK ME I FUCK YOU,N
VOT AK 79,2.0,LIKE THAT AND THE YEAR I WAS BO,AK AS IN GUN,N
59 BSTRD,3.0,VEHICLE HAS PARTS FROM VARIOUS YEARS AND MAKES,BASTARD,N
6EZA13X,2.0,REALLY LIKE MY LAST LICENSE PLATE NUMBER SO I CHOSE THIS ONE AND JUST SWITCHED LAST NUMBER TO THE LETER X.,13 GANG REFERENCE,N
LEXXI$G,2.0,NAME OF DAUGHTER AND INITIAL OF LAST NAME,G AS IN GANGSTER,N
$MYBBTY,1.0,I LOVE MY BABY TOY,LOOKS LIKE LOVE MY BOOTY,N
9O9ONE,2.0,BEATLES SONG TITLE,909 AREA CODE,N
BULY BUS,2.0,"I HAVE AN ENGLISH BULL TERRIER AND DO RESCUE WORK WITH BULL TERRIERS BY TRANSPORTING THEM.' BULLY IS A NICKNAME FOR THE ENGLISH BULL TERRIER.  ""BULLY BUS""",BULLY,N
CRSCORT,1.0,A TENNIS SHOT HIT ACROSS THE COURT IS CALLED CROSS-COURT,A TENNIS SHOT HIT ACROSS THE COURT IS CALLED CROSS-COURT,Y
EF1 FAN,3.0,"IT MEANS FORMULA 1 RACING FAN. ""F1 FAN"" WAS ALREADY TAKEN. THANK YOU.",F1 FAN OR FUCK 1 FAN,N
BLU WAV,2.0,MY DAUGHTER CALLS MY CAR THE BLUE WAVE.,MY DAUGHTER CALLS MY CAR THE BLUE WAVE.,Y
AJNDRVR,2.0,"I AM A FATHER OF THREE ADAM, JESSIE AND NIKKI WHOM I AM ALWAYS CARTING TO SCHOOL PRACTICE MOVIES AND DINNER.",LOOKS LIKE ASIAN DRIVER,N
ALICE 14,2.0,ALICE IS THE NAME I CHOSE FOR MY CAR AND 14 IS FOR THE YEAR I BOUGHT THE CAR,14 GANG REFERENCE,N
AMPA 13,2.0,GRANDPA 2013,13 GANG REFERENCE,N
A5O7N2,2.0,INTAILS N MY COAST GUARD SURFMAN NUMBER,IS THIS A LOOK A LIKE TO SEQUENTIAL LEGACY?,N
BBY G,2.0,MY NICK NAME,BABY GANGSTER,N
DBSBTCH,3.0,NICK NAME DOLLAR BILL AND BITCHEN CAR,BITCH,N
FCK GED,3.0,ONLINE PLAYER USER NAME,FUCK,N
FULL CLP,2.0,2002 FULLY LOADED SHOW TRUCK,FULL CLIP AS IN GUN,N
FUN BAGZ,1.0,MY CAR HAS AN AIR BAG SUSPENSION AND IT IS FUN TO RAISE AND LOWER THE CAR.,AS IN BREAST,N
HELAPNO,3.0,JALAPENO,JALAPENO,Y
HUDRATT,1.0,HUDSON HORNET CAR RATROD,ANOTHER NAME FOR WHORE,N
ILYKBLU,2.0,I LIKE BLUE,I LIKE BLUE,Y
INT13H,2.0,"INT 13H IS SHORTHAND FOR BIOS INTERRUPT CALL 13HEX, THE 20TH INTERRUPT VECTOR IN AN X86-BASED COMPUTER SYSTEM.",13 GANG REFERENCE,N
JENL 13,2.0,"MY FIRST NAME AND LAST INITIAL, PLUS MY BIRTHDAY",13 GANG REFERENCE,N
KRAZZY 1,2.0,CHILD HOOD NICK NAME,CHILD HOOD NICK NAME,Y
LAA RED,2.0,THE RED,RED,N
MAIEY 18,2.0,NAME,18 HITLER REFERENCE,N
MCHE BMB,2.0,"ABBREVIATED FOR ""MICHELLE IS THE BOMB""",BOMB,N
MDL 3SOM,2.0,WILL BE FOR MY TESLA MODEL THREE AND IS ALSO A GOLFING PUN,THREESOME SEXUAL REFERENCE,N
MESA909,2.0,LAST NAME AND AREA CODE,909 AREA CODE,N
NOTGASI,2.0,ELECTRIC VEHICLE - DOESN'T USE GAS,ELECTRIC VEHICLE - DOESN'T USE GAS,Y
NT GASI,2.0,ELECTRIC CAR -- DOESN'T USE GAS,ELECTRIC CAR -- DOESN'T USE GAS,Y
NUMBNTZ,1.0,NICK NAME,NUMB NUTTS,N
OGPTOWN,2.0,ITS MY INITIALS AND THE HOMETOWN OF WITCH I WAS RAISED,OG AS IN ORIGINAL GANGSTER,N
PTANG 29,1.0,"FAVORITE DRINK - PINEAPPLE JUICE & TANG WITH HIS RACE # ""29""",POOTY TANG,N
SO7O7GS,2.0,MY SON'S BIRTHDAY AND HIS INITIAL OF NAME,7O7 AREA CODE,N
STLRS88,2.0,MY FAVORITE TEAM,88 HITLER REFERENCE,N
TREXX13,2.0,TYRANASAURUS REX 13,13 AREA CODE,N
1PAPA88,2.0,WHAT MY GRANDCHILDREN CALL ME,88 HITLER REFERENCE,N
6 4 SCAT,2.0,CAR MODEL,SCAT MEANS ANIMAL POOP,N
8BIJAN8,2.0,MY LUCKY NUMBERS,88 HITLER REFERENCE,N
911 85,2.0,CAR NAME & YEAR,CAR NAME & YEAR,Y
NGA$CTA,2.0,BOTH DAUGHTERS INITIALS NATALIA GUDALUPE AGUILARCAYZLE,NGA LOOKS LIKE NIGGA,N
TAM $13,2.0,ITS THE SHORT VERSION OF MY NAME TAMMY AND HEART MY FAVORITE NUMBER 13,13  GANG REFERENCE,N
FYTCLUB,2.0,HOMAGE TO THE NOVEL AND M,FIGHT CLUB,N
H8RZ ENV,2.0,A SAYING THAT IS ALWAYS SAID.,HATERS ENVY,N
JC 626,2.0,FIRST NAME INITIALS AND MARRIAGE ANNIVERSARY,626 AREA CODE,N
SO NASTY,1.0,"MY TRUCK IS SO NASTY. NASTY BEING A TERM FOR A) HOT, B) MUDDY.",NASTY,N
LA WET,1.0,NICE DODGERS MOTORCYCLE,WET,N
AJ RZN14,2.0,"ADRIAN JANELLE RAZON, BY BIRTHDAY SEPT 14, MY KIDS FIRST NAMES",14-HITLER,N
AZUSA 13,2.0,AZUSA AND NUMBER 13,13-GANG,N
BADAZ52,3.0,AWESOME 52 TRUCK,BADASS,N
BB6 13,2.0,CHASSIS CODE BB6 AND FAVORITE NUMBER 13,13-GANG,N
B88B8BD,2.0,JUST BLACK AND YELLOW CLASSIC LOOK,88-HITLER,N
CERDA 14,2.0,OUR FAMILY LAST NAME AND WEDDING DATE,14-HITLER,N
COLT357,2.0,THE COLT PYTHON IS A .357 MAGNUM CALIBER REVOLVER COLTS MANUFACTURING COMPANY OF HARTFORD CONNECTICUT.,GUN,N
COLT 911,2.0,911 STANDARD ISSUE SIDEARM FOR THE UNITED STATES ARMED FORCES FROM 1911 TO 1986,GUN,N
DUFF 13,2.0,LAST NAME FAVORITE NUMBER,13-GANG,N
FKN9RFN,3.0,FREAKY NINER FAN,FUCKIN 9ER FAN,N
FRESH88,2.0,I'M FRESH AND BORN IN 1988,88-HITLER,N
FUCK EM,3.0,DYING WORDS OF GRANDFATHER THAT RAISED ME AFTER MY PARENTS BURNED TO DEATH WHEN THE FAMILY HOME WAS LIT ON FIRE BY THE NEIGHBOR'S BOY.,FUCK THEM,N
FUKNMPG,3.0,FUCKING MILES PER GALLON,FUCKIN MP,N
FYEA VWS,3.0,VOLKSWAGENS,FUCK YEA VOLKSWAGON,N
F18,2.0,NAME OF AN AIRCRAFT,18-HITLER,N
GNG8181,2.0,GNG IS MY NICKNAME. 8181 IS A LUCKY NUMBER,GANG,N
GWA88,2.0,INITIALS AND YEAR BORN,88-HITLER,N
HELLA5O,3.0,I LIVE IN NORTHERN CA AND ALWAYS LIVED HERE. WE USE THE TERM HELLA AS OUR OWN WAY OF SAYING A LOT. 50 MEANS THE 5.0 LITERS OFMY ENGINE,I LIVE IN NORTHERN CA AND ALWAYS LIVED HERE. WE USE THE TERM HELLA AS OUR OWN WAY OF SAYING A LOT. 50 MEANS THE 5.0 LITERS OFMY ENGINE,Y
H ELYEHA,3.0,HELL CAT,HELL CAT,Y
HNDGUNR,2.0,HAND GUNNER,HAND GUNNER,N
HNP 88,2.0,HAROLD AND PAULA WEDDING DATE,88-HITLER,N
IRON 69,1.0,IRON AS I AM A FITNESS FAN. 69 YEAR OF MY BIRTH,COULDN'T VERIFY 1969 VEHICLE,N
LOL5OHH,5.0,LAUGH OUT LOUD. 5OHH 5.0 LITER ENGINE,50,N
MAMBA13,2.0,SHORT FOR BLACK MAMBA SNAKE,13-GANG,N
MXC13,2.0,INITIALS/FAVORITE NUMBER,13-GANG,N
MFICU2B,3.0,MY FAVORITE IMPORT. CU2 IS CHASSIS CODE FRO ACURA TSX SECOND GENERATION. B IS FOR BLACK. THE COLOR OF MY CAR,MOTHER FUCKER I SEE YOU TOO BITCH,N
