plate,reviewer_comments
SCLRO 14,14-GANG 
RICK CUZ,"CUZ, OFFENSIVE "
RCF U UP,F U UP
RAAAMIT,"RAM IT, HOSTILE "
PONGE KO ,"KO-KNOCKOUT, HOSTILE"
BVR N8TN,BEAVER SLANG FOR VAGINA
DVADR14,14=GANG
DEMAS1,DEMA; DEMAS current
FREE BDS,FREE BUDS; DRUG 
JUICY 65,JUICY; JUICY1 current
KEWZ TUN,"TUN BACKWARDS IS NUT, KEWZ NUT; initials are KEW"
MIMA 14,GANG 14
RL MOFO,REAL MOTHER FUCKER 
SMI 69C,"69-SEXUAL, THERE IS A 69 CHEV ON ANI"
VALE 415,AREA CODE 415
VW G,STANDALONE G
XL TACO,"TACO-VAGINA, SEXUAL  (HAS A 2017 TOYOTA)"
13 MILES,13-GANG 
2LW4 YOU,YOU-DIRECTED TOWARDS YOU; 2LOW4U current
8JADE8,"8  8, HOSTILE "
OG DFNDR,"OG DEFENDER, OG-GANG; Land Rover on ANI"
1LILB,1 LITTLE BITCH 
DO R DY,DO OR DIE; Vet plate
CUZ NODA,CUZ-GANG RELATED 
D ICED,STANDALONE D
A31AA18,18 - HOSTILE
BACON69,69 - SEXUAL
BANNAH D,STAND ALONE D - SEXUAL
BA 12,BAD ASS
BBC 1969,"BBC, BIG BLACK COCK - SEXUAL"
BERLY S,S - SHIT
BOSS BB,BOSS - GANG
BOSS M1,BOSS - GANG. THERE IS A FORD ON ANI
CHOP29A,CHOP - HOSTILE
CLAW7O7,707 AREA CODE
FATGURL,FAT GIRL - HOSTILE/INSULT
FIST EM,FIST THEM - EXTREME SEXUAL ACT
FYST TU,FIST TO YOU - HOSTILE
GO RN13,13 - GANG
GO RN14,14 - GANG; Sequence
HAIGHT 1,HATE; Sequence
IMFNWCK,I'M FUCKING WACK
KITI KTY,"KITTY, VAGINA - SEXUAL"
KTMKLLR,KILLER - HOSTILE
LEHAL S,S - SHIT
MAMBA14,14 - GANG; 14 Dodge on ANI
MINI FTW,FUCK THE WORLD
MKEA 5O,50 - POLICE
M3 4 14,14 - GANG
NJM14,14 - GANG
ORTEGAY,GAY - HOSTILE/INSULTING
PLSBKUP,PLEASE BACK UP - HOSTILE?
RAWRUDY,RAW - VULGAR
RED BTOM,"RED BOTTOM, RED ASSED - SEXUAL"
RMZ CREW,"CREW - GANG, LAST NAME IS RAMIREZ"
SAUCY5O,50 - POLICE
SEVTY SS,"SS - HOSTILE, THERE IS A 1970 CHEVY ON ANI"
SLOW DE,SLOW DE/DICK - SEXUAL
STABEN1,STABBING - HOSTILE
SXY S14,14 - GANG; Nissan on ANI
TRZ8888,88 - HOSTILE
X CHERRY,CHERRY - SEXUAL. AN IMPOLITE NAME FOR A WOMAN'S HYMEN
XXIKEXX,"TO ""IKE"" SOMEBODY MEANS TO HIT THEM, AS IN IKE TURNER HITTING TINA TURNER - HOSTILE"
YALLA M4,M4 RIFLE - HOSTILE; BMW on ANI
1BTCHY1,BITCHY - VULGAR
10 9 16,916 AREACODE?
13CHEO,13 - GANG
179SL14,14 - GANG
2MURDER,TO MURDER - HOSTILE
ASHB18$,18 - HOSTILE
MOST $D,MOST LOVED DICK - SEXUAL
FACK ME,FUCK ME - SEXUAL
4EVRR18,18 - HOSTILE
DCKARD,SOUNDS LIKE DICK HARD - SEXUAL. IT IS ALSO A COMBINATION OF THE NAMES DICK AND RICHARD
FAV MRDR,FAVORITE MURDERER - HOSTILE
BAD BOMB,PULLING FOR BOMB
BLVNBLU,BLUE=GANG
BUBU51O,AREA CODE
BUBZZ G,DRUG ; VAPE
DDDS916,AREA CODE
DUB88,88=HITLER
CHALE 16,CHALE=HELL NO; HELL NA 873UP/372DOWN
CSTRO 14,14=GANG
CURRY BX,PULLING FOR BOX
E626 ESC,AREA CODE
FASTPSY,FAST PUSSY
FZY ANGL,SEXUAL ; FUZZY ANGEL
G GEV G,G=GANGSTA
HATED SI,NO HATE
HEFT JW,HEFTY JEW
IBR8HIM,I BERATE HIM; HOSTILE
IEATAS5,VULGAR ; I EAT ASS
IH8BOTS,HOSTILE ; HATE
J KITT18,SEXUAL ; KITTY
LMAO M3,LAUGHING MY ASS OFF M3
LUV FOB,FOB=FRESH OFF THE BOAT
MEOW AF,MEOW AS FUCK
MUSST69,MUST 69; SEXUAL CONNOTATIONS (HAS A '69)
SHARK 18,18=GANG
SS SLED,SS
TACOZLA,TACOZILLA
TEA 8AG,TEABAG (PULLING FOR UNACCEPTABLE/SUBSTITUTING
URA MES,YOU'RE A MESS; HOSTILE
USMC818,AREA CODE
WEEETTT,WET; SEXUAL
X SHOTZ,TEN SHOTS
XX BLUE,BLUE=GANG
13SYL16,13=GANG
14 YODA,14 on ANI
2ENAJ13,13=GANG
2S1K4BS,TOO SICK FOR BULLSHIT
3CLMPR,THREE CLAMPER (S AND M)
528HZ88,AREA CODE/88
8888GT3,88=HITLER
BJJGRIP,BLOW JOB/GRIP
UR EZ2$,YOU'RE EASY TO LOVE (PULLING FOR YOU)
ABCHPLZ,A BITCH PLEASE
BOB BX,PULLING FOR BOX
FLPABCH,FLIP A BITCH
HARDEXC,PULLING FOR 'HARD'
MGPL888,88=HITLER
NO BEEZY,NO BITCH
PRKCMPN,PRICK CAMPING
EAU BLU,OH BLUE
LUB,LUBE
MER BLU,BLUE=GANG
NETVAPE,DRUG REFERENCE VAPE
PAY2CUM,PAY TO CUM; SEXUAL REFERENCE
PILLMNY,PILL MONEY; DRUGS
UCME 69,YOU SEE MY 69; SEXUAL (NO '69 ON DCS)
6DMNBAG,6 DAMN/DEMON BAG
8MOXIE8,88=HITLER
818 SCAL,AREA CODE
88REBEL,88=HITLER
BANANA B,B=BITCH
SXYBUT$,SEXY BUTT LOVE
SMKD,SMOKED; DRUG REFERENCE (FIREFIGHTER PLATE)
BO88YKT,88=HITLER
FIGHT 7,FIGHT; HOSTILE
IL SHO U,I'LL SHOW YOU; HOSTILE
OVR KILD,OVER KILLED; HOSTILE
H84WHLS,HATE
RED1RKT,RED=GANG; RED ROCKET; SEXUAL
WHALE HO,HO
BEER HND,ALCOHOL REFERENCE BEER
BIGBLKZ,SEXUAL ; BIG BLACKS
BMER3SS,GANG ; SS
BUT SOUP,VULGAR ; BUTT SOUP
CLN RYDE,GANG ; CLAN
COLEGRL,POSSIBEL VULGAR ; CALL GIRL
DAN W 13,GANG ; 13
DAUB NOW,VULGAR ; DAUB - a fat joint that just begs to be smoked
DURRTY,VULGAR ; DIRTY
DUXPUK1,SEXUAL ; DUCKS FUCK
FUN4CT,VULGAR ; FUNKED
GM KLLER,HOSTILE ; KILLER
HR69GTO,SEXUAL ; 69 on ANI
H82BLT,HOSTILE ; HATE
I SPUL4U,HOSTILE?
KILGRVE,HOSTILE ; KILL
MEXBND,MEX - MEXICAN? **OFC ASSIGNED
MG 17,FIREARM REF ; MG 17; initials are MG 
MON 88,GANG ; 88
MYKUM5K,SEXUAL ; MY CUM
MY TAKO,SEXUAL ; TAKO; Toyota truck on ANI
NOTMYMG,FIREARM REF ; MG - MACHINE GUN
OG UNKRN,GANG ; OG
PAQR FAN,SEXUAL ; PAQR - FUCKER
PCKRZ12,POSSIBLE SEXUAL ; FUCKERZ
RBDK21,SEXUAL ; RUB DICK
REZNECK,REDNECK
RXH8SIT,HOSTILE ; HATE
SS 52O,GANG ; SS
SUP BCH,VULGAR ; WHAT UP BITCH
TEETS,VULGAR ; TITS
UA6 GOD,YOU A SICK/S GOD
WTF JEEP,VULGAR ; WTF - WHAT THE FUCK
XFK 585K,VULGAR ; FK -FUCK
1ILL SS,GANG ; SS; Chevy on ANI
13 AMAN ,GANG ; 13
424,AREA CODE ; 424
505 NICA,AREA CODE ; 505
65FATSO,INSULT ; FATSO
85 BRAT,REPULSIVE ; BRAT
BNYDAD,VULGAR ; BONY DAD
$CCD4U,SEXUAL ; CCD - COCK CRAVING DISORDER
77SUP$R,GANG OR SEXUAL ; 77
NAYMEXI,MEXI - MEXICAN?
NVRFQIT,VULGAR - NEVER FUCK IT
MIKI911,"""911""; No Porsche"
MADEX13,GANG ; 13
69MACH3,SEXUAL ; 69; No 69 on ANI
8RSGNA8,GANG ; 88
22REV13,GANG ; 13
PNY KLIR,HOSTILE ; PONY KILLER
MOKE619,AREA CODE ; 619
MEHMOE G,STAND ALONE G
LARC V,STAND ALONE V
JAMES13,GANG ; 13
HOGSHTR,VULGAR ; HOG SHITTER
GRT NSAC,SEXUAL ; GREAT IN THE SACK
AGENT B,STAND ALONE B
BAAAD SS,GANG ; SS; Chevy auto on ANI
BISBBLU,BLUE
CAP GAIN,HOSTILE ; CAP COULD MEAN TO SHOOT (CUSTOMER HAS HAD PLATE SINCE 1994)
CARRY U,POSSIBLE SEXUAL
CHV66SS,GANG ; SS; 66 Chevy on ANI
D ANCHR,STAND ALONE D
D A Y M ,SWEAR WORD ; DAMN
D DURON,STAND ALONE D
DIGKILA,DIGKILA
DRFTMSL,WEAPON ; MSL - MISSILE
D U K A,"COULD MEAN ""TO FUCK UP"""
EFFENAY,"COULD MEAN ""FUCKIN AY"""
E PATRON,STAND ALONE E
FK KNCR,SWEAR WORD ; FK - FUCK
FLYNICA,NICA COULD MEAN NIGGA
FUKUIRS,FUCK YOU IRS
GK53C14,GANG ; 14
GTGMA B,STAND ALONE B - GOT TO GO MA BITCH; name is Benita
HF 88,GANG ; 88
HICOCAL,COC OR HI
I MAFIA,GANG ; MAFIA
JHNNY D,STAND ALONE D
LUC13,GANG 13
MALDY 88,GANG ; 88
N1313,GANG ; 13
N3O W88,GANG ; 88
OG 4OOLS,GANG ; OG FOOLS; Lexus on ANI
OO7SLYN,HOSTILE ; SLAYIN
O6KFU52,SWEAR ; FU !
PEREZ18,GANG ; 18
QN84BEE,BEE COULD MEAN BITCH
SC831,AREA CODE ; 831
SSBKLYN,GANG ; SS
SS63CHV,GANG ; SS
SS63SS,GANG ; SS
THE1BLU,BLUE
TOYWS18,GANG ; 18
UOUTLAW,REPULSIVE
VLTOYBX,TOY BOX
XYNGONA,SPANISH WORD; CHINGONA
ZMYREAR,SEE MY REAR
1OF15US,COULD MEAN ONE OF ISIS?
1ZIPNSS,GANG ; SS; 17 Chevy auto on ANI
66SS LS2,GANG ; SS; Chevy auto on ANI
7D454SS,GANG ; SS; Chevy auto on ANI
8O5BUNY,AREA CODE ; 805
9MM MAMA,FIREARM ; 9MM
925 M55,AREA CODE ; 925
99BCHZ,REPULSIVE ; BITCHES
99TACOS,SEXUAL ; TACOS
FA18 PM,GANG ; 18
FTHR13,GANG ; 13
SD REPIN,REPPIN
SYC SHT,SHIT
POOPD$G,POOP
2BA&DJA,COULD MEAN BASTARD
A NGHEO,"INSULT ; TRANSLATES - POOR, POVERTY"
BEACHSE,COULD MEAN BITCHES
CRZY BH,CRAZY BITCH
HILN WYF,WYF - COULD MEAN WHERE U FROM?
JRD94SS,GANG ; SS; 94 Chevy on ANI
RUBNITN,SEXUAL ; RUBBING IT IN
R8RS8O5,AREA CODE ; 805
2O9 DASH,AREA CODES ; 209
626LUVR,AREA CODES ; 626
BANKSS,GANG ; SS
CYA OFCR,INSULT ; SEE YA OFFICER
DRNIT YP,DARN IT
5SLO KLR,HOSTILE ; KILLER
69CUDAA,SEXUAL ; 69
69ETIKT,SEXUAL ; 69; no 69 on ANI
8HYL8,GANG ; 88
ICYUNV,INSULT ; I SEE WHY YOU ENVY
NUTRME,POSSIBLE SEXUAL ; NUT
KILNDUK,HOSTILE-KILLING
KB805,AREA CODE
IH8UAWL,HOSTILE-I HATE YOU ALL
HELABIG,HELA-SWEAR WORD
GDEAD77,HOSTILE-DEAD
MFNV8DR,MOTHERFUCKING VADER
LV2EAT2,EAT
SIKH TRD,SIKH TURD; No Toyota on ANI
SWP SWP,LOOK ALIKE
TRDS550,VULGAR-TURD
TRD CMNT,VULGAR-TURD; can’t see ANI
TSIE H8,HOSTILE-HATE
TUCHMUP,SEXUAL-TOUCH ME UP
UBRMOFO,MOFO-MOTHERFUCKER
UPDTD69,SEXUAL-69; 69 on ANI
VOLTFTW,VULGAR-FUCK THE WORLD
VOOV GRL,SEXUAL
VQ ASSS,SEXUAL-ASS
VQ BOOTY,SEXUAL-BOOTY
WENDY 69,SEXUAL-69; 69 on ANI
XON KLR,HOSTILE-KILLER
1I1TII1,LOOK ALIKE
XXXOLOS,SEXUAL-TRIPLE XXX
13TAKHR,GANG
36CREW2,CREW-GANG
36CREW1,CREW-GANG
515OHOS,SEXUAL-HOES
53OY555,AREA CODE
69 BB,SEXUAL-69; can't see aNI
69LSN VA,SEXUAL-69; No 69 on ANI
69 MOCO,SEXUAL-69
69YEEHA,SEXUAL-69; can’t see 69 on ANI
69 MSLE,SEXUAL-69; 69 on ANI
786BOSS,GANG-BOSS
8O5AM,AREA CODE
8O5 LYFE,AREA CODE
O8B8B8O,LOOK ALIKE
UIWMC69,SEXUAL-69
17THBUF,VULGAR-FUCK YOU BACKWARDS
ALVZ 911,911; no prosche on ANI
WTFMLOL,WTF-WHAT THE FUCK
SENDY AF,AF-AS FUCK
SMKY209,AREA CODE
POOR AF,AF-AS FUCK
OMWTFSS,ON MY WAY TO FUCK SHIT
N8STACO,TACO
NSTY B,NASTY BITCH
NOLA 14,14 GANG; 14 ON ani
NOHO 818,AREA CODE
MNION 13,13 GANG
MIZZ8O5,AREA CODE
MIMI 69,SEXUAL-69
MIJORNY,HORNY
JKIDGAF,JUST KIDDING I DON’T GIVE A FUCK
JAF13,13 GANG
HPE KLR,KILLER
GT SMRFD,SMURFED-TO GET SLAPPED IN THE FACE WITH A PENIS TILL YOU TURN BLUE {143U/76D}
GNU TACO,TACO
DIEBOLD,DIE
BSHBGON,BITCH BE GONE
BSGURLS,BULLSHIT GIRLS
BOYTOYZ,SEXUAL
BOOBLES,BOOBS
BLK AF,BLACK AS FUCK
BD MF7O,BAD MOTHER FUCKER
MF151,MOTHERFUCKER
MMNNMNM,LOOK ALIKE
OG STATS,ORIGINAL GANGSTER
QEST4FN,FN-FUCKING
QQBRO,NEGATIVE-ACCORDING TO UD QQ MEANS CRYING EYES WHEN PLAYING WARCRAFT
QUK,VULGAR-FUCK
REV BTY,BTY-BOOTY
RHLM 666,HOSTILE-666
84MDM48,GANG; 88
MA DAD14,GANG; 14
IX I IV,GANG **HAS RECORD**
BLDY B8,HOSTILE;BLOODY B8=88
DYN CRE8,DYING
ELNOR 69,SEXUAL; 69; 69 on ANI
FAVELAO,PORTUGESE FOR SLUM/LOW LIFE
G FKNSTY,VULGAR; G FUCK NASTY
LOW DIE,REPULSIVE; DIE
MROGC51,MR. OG
O CHITTY,CHITTY=SHITTY
OG MICK,OG
YOOR MOM,YOUR MOM
B DOGG13,GANG; 13  **HAS RECORD**
DTH MTTL,HOSTILE; DEATH
I8 BUG,8=ATE
THE OGES,OG
XR8D 5O,SEXUAL; X RATED
ANGL 76O,AREA CODE; 760
AV 911,911; no Porsche on ANI
CIAOOO5,CIA
CODA SQD,HOSTILE; SQUAD
CRZN 13,HOSTILE; 13
DAMM,DAMM=DAMN
DA PNSHR,HOSTILE= THE PUNISHER
DEFINEU,INSULT?= DEFINE YOU
DT F UP,F UP= FUCK UP
EL7ROJO,GANG; ROJO=RED
FAKIR1,VULGAR; FAKIR=FUCKER
FAT14,GANG; 14
FA4ED,INSULT; FA4ED=FAGGOT
FLUFFER,SEXUAL; FLUFFER
FML DM,VULGAR; FML=FUCK MY LIFE
FUCKBMW,VULGAR
FUHS 61,VULGAR; FUHS=FUCK U
FWERXOO,VULGAR; FUCK WORK?
FWERXO1,VULGAR; FUCK WORK?
GON SQAD,HOSTILE; SQUAD
GRUBY 13,GANG; 13
HAO 8888,GANG; 88
H2OS CRW,CRW=CREW
JFH8JQB,HOSTILE; H8=HATE
JMAGNUM,FIREARM; MAGNUM
J SQARD,HOSTILE; SQARD=SQUAD?
J TNT,BOMB REFERENCE = TNT
LARA BS,VULGAR; BS=BULLSHIT
LKHERUP,SEXUAL; LK=LICK OR LOOK
LOUIE G,HOSTILE; G=GANGSTA
LOVE OG,OG
LOWBEDR,HOSTILE; BEDR=BEATER
MERCAAF,VULGAR; AMERICA AS FUCK
MIZTRSS,SEXUAL; IMPLYING CHEATING
MOZFIA2,GANG; MOZFIA=MAFIA
NMWNMMW,CONFUSING SEQUENCE
NTT 88,GANG; 88
OG LOVE,OG
PALESTN,PALESTINE-Controversial to other goods
SPCC916,AREA CODE; 916
SWOLKAT,SEXUAL; SWOLLEN VAGINA
TAKOTUZ,SEXUAL; TACO
THEBEEF,HOSTILE; COULD BE CONSTRUED AS HAVING ISSUES/VIOLENCE
TNT2,BOMB REFERENCE
TRD4PRO,VULGAR; TRD=TURD
U HATEIN,HOSTILE; YOU HATEING
UUASH ME,HOSTILE; U=YOU
VIGLNTE,HOSTILE; VIGILANTE
WINESOB,SWEAR; SOB=SON OF BITCH
WKDCLMS,SEXUAL; WICKED CLAMS
XXYYY,
YEA66SS,GANG; SS; 66 Chevy on ANI
Z71 17,MIRROR IMAGE?
1ILLE,CONFUSING SEQUENCE
1QIK SS,GANG; SS; no Chevy on ANI
4554,GANG; 55=SS
714 JEFE,AREA CODE; 714
805 DILF,SEXUAL; DADE' I LIKE TO FUCK
88ALFA,GANG; 88; 88 Alpha on ANI
88SWGON,GANG; 88
1NVS MF,VULGAR; MF=MOTHA FUCKA
TRQ$ISE,HOSTILE; TRANQUILIZE
BUT4DTA,VULGAR; BUTT
ELA PAME,HOSTILE; HELLA LAME
FXY BXY,VULGAR; FOXY BOXY
H8ERVY1,HOSTILE; HATE EVERYONE
ILICIT,HOSTILE; ILLICIT
IM DIED,HOSTILE; DIED
IMYAYOU,HOSTILE; YOU!
JERMAMA,HOSTILE; YOUR MAMA
NORTEK1,GANG; NORTE=NORTH14 GANG
QWIKY,SEXUAL; QUICKY!
R TRD 4R,INSULT; RTRD=RETARD OR TURD; Toyota on ANI
SMKNGNA,COULD MEAN SMOKIN NIGGA
BOXAAAH,SEXUAL; BOX
MERCS,HOSTILE; MERCENARY
RIDHARD,SEXUAL; RIDE HARD
PLAQOFF,HOSTILE; FUCK OFF!
SPOT14,GANG; 14
TAHOLYF,VULGAR; THE HOLY FUCK
B KAT,SEXUAL; KAT=KITTY
AE6RK14,14=GANG
AF WPNS,AIR FORCE WEAPONS
AMQR 13,13=GANG
AMS 8888,88=GANG
BEATSF1,BEAT=HOSTILE
BOX TECH,PULLING FOR BOX
BRK NECK,BREAK NECK=HOSTILE
BTCWINS,BITCH WINS
CAL 18,18=GANG (LAST NAME IS CALONIA)
CAMPO69,69 (NO 1969 ON RECORD)
CC88BB,88=GANG
CROW2O9,AREA CODE
CUTTY62,CUTTY=SLANG FOR VAGINA
DEADS 51,DEAD
DREA 13,13=GANG
GMSS115,SS=HITLER
I EE BKD,IE BAKED; HIGH
JAYS V,V BY ITSELF; VAGINA; Cadi on ANI
JEFE37,JEFE=GANG
JUAREZ X,X=ECSTACY
KE CHULO,PIMP IN SPANISH
KILLIWU,KILL
LOU G,G=GANGSTA
MAGICO G,G=GANGSTA
MANGO14,14=GANG (HAS A 2014 DODGE)
MCG 14,14=GANG
MXBOI88,MEXICAN BOY + 88 (GANG)
MYSHRMN,MUSHROOMIN=DRUGS
OKIBOY,OKI; DEGRADING
P ELJALE,STAND ALONE P
RMD88,88=GANG
SHNL FKR,FUCKER
SH 13,13=GANG
SPZATTK,SPAZZ ATTACK
SSDDTCB,SSDD=SAME SHIT DIFFERENT DAY 
TILLDIE,TIL I DIE
V1OGANG,PULLING FOR 'GANG'
WHRSGMO,WHORES OR WHERE'S GMO
42NUT,NUT
42O MD,42O=WEED (MEDICAL MARIJUANA)
8888MAI,88=GANG
OGFXRP,OG=ORIGINAL GANGSTA
OMF R$X,OMF=OH MY FUCK
BUDS86,BUDS=WEED (HAS '86 MERCEDES)
AK ONRY,AK=GUN OR ACT ORNERY
BIKO619,619=AREA CODE
NELLY14,14=GANG
OHH SHHH,OH SHIT
UR DOOMD,YOUR DOOMED; HOSTILE
13TH FL,13=GANG
88 CAPTL,88=GANG
NGRYSVG,ANGRY SAVAGE; HOSTILE (HIS LAST NAME IS SAVAGE)
YAA RAT,YOU RAT
AECA308,HOSTILE- GUN
AHSUM 88,HOSTILE- 88; 50 Olds on ANI
AI FTW,VULGAR- FUCK THE WORLD
ANYWH69,SEXUAL- 69
ATK47,HOSTILE- GUN
ATMC ORG,"SEXUAL- ATM/ASS TO MOUTH, ORG/ORGY"
A8822S,HOSTILE- 88
BAJA 661,AREA CODE
BGNASTE,VULGAR- BIG NASTY
BGNSTGL,VULGAR- BIG AND NASTY 
BLKPRD1,HOSTILE
BMPR BTY,SEXUAL- BUMPER BOOTY/BUMP HER BOOTY
CED 13,GANG- 13
CHRLY13,GANG- 13
CREAM 91,VULGAR- CREAM/ COULD BE SEXUAL
CUZ BASS,GANG- CUZ
DEDPOL,HOSTILE- DEADPOOL
DSLMECH,SEXUAL- DICK SUCKING LIPS
DVSST8N,HOSTILE- SS
D69 CAM,SEXUAL- 69; 69 Chevy on ANI
E ST PD,POLICE DEPT
EVELYN D,STAND ALONE D
FATEH B,STAND ALONE B
G BITTY,STAND ALONE G
GG BOYS,DOUBLE G
GLAMIS V,STAND ALONE V
GYB HO,VULGAR- HO
G 888 D,STAND ALONE G AND D
HUNGTOP,VULGAR/SEXUAL
K B SS1,HOSTILE- SS
KE XNGON,VULGAR-HOW BAD ASS IN SPANISH
KITTYMD,SEXUAL
MFURYUS,VULGAR-MF
MS2 SS,HOSTILE- SS
M4MK18,HOSTILE- M4/18
M9D ST8,HOSTILE- GUN
N488SPY,HOSTILE- 88
RCODE69,SEXUAL-69; 69 Ford on ANI
SHAG 11,SEXUAL
SS IMPAL,"HSOTILE- SS, NO IMPALA ON RECORD"
STRAPRS,HOSTILE-STRAPERS/POSSIBLE GUN REF.
THH1118,HOSTILE- 18
TRMI FTW,VULGAR-COULD MEAN F THE WORLD
TURBOPP,SEXUAL- PP
WASH CRW,HOSTILE- CREW
WINK13,GANG- 13
1ALPHA3,GANG-13
1BLK PRD,HOSTILE- BLACK PRIDE
2008 FTW,VULGAR-COULD MEAN F THE WORLD
26TH ST,HOSTILE- COULD BE GANG AFFILIATED
8MY TOY8,HOSTILE-88
OG DYNA,HOSTILE- OG; No Harley on ANI
KITTY KR,SEXUAL-KITTY
FIPBOSS,HOSTILE- BOSS
KITYKNS,SEXUAL-KITTY
LHSCRU,HOSTILE-CREW
BZ MT,VULGAR-BZ
CALI EF9,VULGAR- EF/F/FUCK
OMW2EYP,SEXUAL-ON MY WAY TO EAT YOUR P
POLEEEZ,POLICE DEPT
RIPSKRT,VULGAR-RIP SKIRT
ABUV YOU,ABOVE YOU 
ANNYPOO,"POO, POOP-VULGAR"
ARROW SS ,SS-HOSTILE; 16 Chevy on ANI 
ASHTEAD,A SHIT HEAD-VULGAR 
BAD A TA,BAD ASS TITS-SEXUAL  
BAJWA A ,"A-ASS,VULGAR "
B ANGEL,"B-BITCH ANGEL, VULGAR "
B BUTE ,"B-BOOTY, VULGAR "
BFTDEAD,DEAD-HOSTILE 
BZ SELLR,"BEEZY-BITCH, VULGAR "
C DUB14,14-GANG 
CLASY MF,"MF-MOTHER FUCKER, VULGAR"
CYA RAT,"SEE YA RAT, HOSTILE "
D AMORA,"D-DICK, SEXUAL "
D BOWMN,"STANDALONE D, SEXUAL  "
DENN13,13-GANG 
DJBOMBA,BOMB-HOSTILE 
DP SURFR,DOUBLE PENETRATION-SEXUAL 
FALKORR,FUCKER-VULGAR
F COUCH,"STANDALONE F, FUCK-VULGAR"
F HYBD,"STANDALONE F, FUCK-VULGAR"
GD ENUPH,GOD DAMN ENOUGH-HOSTILE
HIPPO M4,M4-GUN; no BMW on ANI
HKDISMF,"HECKLER&KOCH(GUN MANUFACTURER) THIS MOTHER FUCKER, HOSTILE "
HPY2TCH,HAPPY TO TOUCH OR TEACH
ISSA BAE,BAE IS SHIT IN DANISH-VULGAR 
JA CA 88,88-GANG 
LLLJEFE,THE BOSS-GANG 
LYSS18,18-GANG
MAMIE D,STANDALONE D 
MISSMYB,MISS MY BITCH-VULGAR 
MNKYPIT,MONKEY PIT-RACIAL
MS DIRTY,DIRTY-SEXUAL 
MUDDBLD,MUD BLOOD-VULGAR 
OMG MVE,OH MY GOD MOVE-HOSTILE 
OUTD WA,OUT THE WAY-HOSTILE  
PANSON1,FAT-INSULTING 
PILAR B,STANDALONE B
POPA GY,"POPA GUY, HIT A GUY-HOSTILE"
REHAN 13,13-GANG 
REHAN14,14-GANG 
RJ 13 P,13-GANG 
R 69 DUB,69-SEXUAL; 69 VW on ANI 
SETCREW,CREW-GANG 
SF44MAG,44 MAG GUN-HOSTILE 
SQD GRG,SQUAD-GANG
SSSD 18,18-GANG 
STHOE26,HOE-VULGAR
SVLTNSS,SS-GANG 
SYDNEY G,STANDALONE G 
THE DOO,THE SHIT-VULGAR 
THOTHOP,THOT-VULGAR 
TIAN858,AREA CODE 
US SS,SS-GANG 
VEDSHIV,SHIV KNIFE-HOSTILE 
V8KILAA,KILLER-HOSTILE 
WTH,WHAT THE HELL-VULGAR  
YODA626,AREA CODE 
YOU HTFU,FU-VULGAR 
1 GOT U,HOSTILE; IGOTU current
19SMR88,88-GANG 
8DABUTY,ATE THE BOOTY-VULGAR
8GEAZY8,88-GANG 
8O5EVOX,AREA CODE 
818 SOLO,AREA CODE 
971TACO,SEXUAL
E 2 13,13-GANG 
A 911GTS,911; No Porsche on ANI
B KARZA,STANDALONE B 
CAKE 76,"CAKE-BUTT, SEXUAL "
CPIRUF,PIRU-GANG
ITAK THT,I TAKE THAT-HOSTILE
JAWSSSS,SS-GANG 
KING FNC,KING FUCKIN C-VULGAR
MERKBAH,"MERK-TO KILL, HOSTILE "
NY TETA8,NEW YORK TITS
ROHIT R,HIT-HOSTILE 
SCM OG,OG-GANG 
TR8R69,69-SEXUAL 
URV8SLO,YOUR V8 SLOW-DIRECT 
UUSTAD G,STANDALONE G; No G in name
6DELI9,69-SEXUAL 
1SUCIO3,13-GANG 
B A MNSH,BAD ASS-VULGAR 
IAM BAHF,I AM BADASS HELLA FINE 
JKARIDE,JACK A RIDE (STEAL A CAR)-HOSTILE
JRS TRD,TURD-VULGAR  
MY GANG,GANG-HOSTILE 
NASTTY1,NASTY ONE-VULGAR 
488S,88-HOSTILE 
7SIXTY9,69-SEXUAL 
9 TNT 1,"TNT,BOMB-HOSTILE "
BASS&RD,BASSTARD-VULGAR 
BALS DP,SEXUAL; BALLS DEEP
ALXPUNK,HOSTILE; PUNK
CCSSAS,ASS BACKWARDS
CEOH714,AREA CODE 714
CMNGTIT,OBSCENE; COME AND GET IT!
CORA AF,OBSCENE; AF
F PSYCLE,OBSCENE; F
GPONY 14,GANG; 14
HEX ON U,HOSTILE; HEN ON YOU!
JUST 51O,AREA CODE 510
KAGELSX,OBSCENE; KAGEL SEX
KLNPRII,HOSTILE; KILLIN
LOWRTOY,OBSCENE; LOWER TOY; No Toyota on ANI
LOYA SS,GANG; SS (LAST NAME/HAS '16 CHEV)
LPZ 13,GANG; 13
MISSMYG,HOSTILE; STAND ALONE G
MK7ECE13,GANG; 13
VICKY14,GANG; 14
WPN SS,GANG; SS; 17 Chevy on ANI
XXIV IV,GANG; XIV=14
PHLLY18,GANG; 18
PULLIN U,HOSTILE; PULLIN YOU!
SPYCTCO,SEXUAL; SPICY TACO
SS2GOKU,GANG; SS
THICAF,OBSCENE; THICK AS FUCK!
TIGER18,GANG; 18
TOSLI4U,HOSTILE; TOSLI? FOR YOU!
3R8C9FX,OBSCENE; ERASING FUCKS?
4O8RICO,AREA CODE; 408
41GRY ST,GANG STREET
415 CUBS,AREA CODE; 415
9O9JPGR,AREA CODE; 909
SEER 13,GANG; 13
